"","lower","upper"
"1",-2.87338740690596,-1.19622334079591
"2",-2.63077109367081,-1.11990723151706
"3",-2.54624518085449,-1.09818811748285
"4",-2.23795208161042,-0.912472725449205
"5",-1.91245607612037,-0.601316990955186
"6",-1.86049460590647,-0.580985647926361
"7",-1.78468468527935,-0.535265756340209
"8",-1.54647399321466,-0.345646674096873
"9",-1.39322955759348,-0.226594620901514
"10",-1.32160416618662,-0.180425474857474
"11",-1.22070720002789,-0.0912816384006262
"12",-0.976243320194423,0.144000286609438
"13",-0.965005320145278,0.169700419563484
"14",-1.05044672607334,0.138839071370335
"15",-0.937939209218337,0.329538579387989
"16",-1.03991145301106,0.362305950040434
"17",-1.03255126896374,0.594748903989379
"18",-0.501142729329276,1.41279940738284
"19",0.558810899116276,2.59931821177702
