"","lower","upper"
"1",-3.69013836190287,-1.65409191276189
"2",-2.9782392939769,-1.17980325168006
"3",-2.89085730254952,-1.23485583424799
"4",-2.70251255331348,-1.1246321005095
"5",-2.6404374200594,-1.15084983104195
"6",-2.38735879627319,-0.984940721053158
"7",-2.02402406908121,-0.727819320680365
"8",-1.73221501656248,-0.46437036085769
"9",-1.58194260561983,-0.373470382879971
"10",-1.6826976646278,-0.513932663471921
"11",-1.42705035806361,-0.224281215036085
"12",-1.43752405769792,-0.148304394138783
"13",-1.66454694192487,-0.200352547856034
"14",-1.7409589404127,-0.14234126723961
"15",-1.40248042991728,0.234202418289526
"16",-0.0459404483312493,1.42443631157791
"17",-0.145128582752465,1.37957061138675
"18",-0.447571383494152,1.24634355597715
"19",-1.00559161366216,1.25066140598771
