"","location","scale","shape","freedom","DATE"
"1",5.86540722611314,3.43706155953647,-2.46118716700753,30,1974-01-01
"2",5.30302290907729,4.07805165037076,-22.8156226676027,30,1974-04-01
"3",4.07276057700715,4.00127946814387,-30,4,1974-07-01
"4",5.10788188154178,4.55553739977249,-30,6,1974-10-01
"5",3.87038131715018,3.04858962029329,-30,4,1975-01-01
"6",4.61859564988702,5.00639343888703,-30,4,1975-04-01
"7",3.75855797362488,5.98978325862513,-30,3,1975-07-01
"8",4.08262823492737,4.52646444191951,-30,3,1975-10-01
"9",3.58445942699204,3.00556508055104,-30,3,1976-01-01
"10",4.76826893185637,2.47202653468338,-2.49208972030196,30,1976-04-01
"11",4.74405094150447,1.8886330458485,-0.986635185710354,30,1976-07-01
"12",5.00353078879823,2.45354597425307,-1.94018538689868,30,1976-10-01
"13",2.99728010142475,1.91684944520259,1.68551809119081,30,1977-01-01
"14",4.37212620059053,1.67188676551042,-1.17732737623612,30,1977-04-01
"15",4.23058490943359,1.56379560493936,-1.15777388666226,30,1977-07-01
"16",4.28290036196226,1.57047397575285,-1.02641297901489,30,1977-10-01
"17",3.03573997415164,1.41812374279829,0.706441008196137,30,1978-01-01
"18",3.32619100697332,1.62810852412952,0.560250818733309,30,1978-04-01
"19",4.84769906500561,1.97785936108766,-1.04633257856599,30,1978-07-01
"20",4.47179967273143,2.699731210939,-5.71031228200428,30,1978-10-01
"21",4.66546842524482,2.7733191199385,-4.2563567716506,30,1979-01-01
"22",6.14326153434729,2.95780274476293,-1.169156004722,30,1979-04-01
"23",5.17739674284337,3.63441822281218,-16.8775804356817,30,1979-07-01
"24",5.44026013746031,4.61389326438649,-30,11,1979-10-01
"25",4.62244142306745,3.61600600858534,-30,8,1980-01-01
"26",4.57885244793848,3.40925773304289,-30,10,1980-04-01
"27",4.96792798149987,4.1716249914102,-30,7,1980-07-01
"28",4.58757782484075,4.53879310463134,-30,4,1980-10-01
"29",4.63630952586629,4.60283297950798,-30,4,1981-01-01
"30",2.87012478055984,3.91834684097101,-30,2,1981-04-01
"31",4.34364117216389,3.46459034087283,-30,5,1981-07-01
"32",5.79446383347241,5.32732116021232,-30,9,1981-10-01
"33",5.9617293312912,5.45894315186467,-30,11,1982-01-01
"34",3.87823538197732,4.27863856531333,-30,3,1982-04-01
"35",5.19482746327753,5.52256977476145,-30,4,1982-07-01
"36",3.61468046230097,4.27561727576316,-30,3,1982-10-01
"37",3.31476260068457,3.81032088506564,-30,3,1983-01-01
"38",4.77827028307186,4.66881886666939,-30,4,1983-04-01
"39",4.11648251624153,4.77285255549401,-30,3,1983-07-01
"40",4.52462495814034,4.04241339475132,-30,5,1983-10-01
"41",5.21064939741123,3.07509276892423,-3.10755222372472,30,1984-01-01
"42",5.31863728637843,2.43779092282439,-1.35976604725126,30,1984-04-01
"43",5.29441298028757,2.57291787864742,-1.68746872100394,30,1984-07-01
"44",5.42973195748409,2.7799203198441,-1.88492398001944,30,1984-10-01
"45",5.27163179574011,2.51344350780481,-1.60105425540914,30,1985-01-01
"46",5.63224526908663,3.73021310913489,-4.43663220203385,30,1985-04-01
"47",5.18743939946007,3.77357524730481,-22.9471728273288,30,1985-07-01
"48",4.9050515723671,2.86309320615532,-3.41296921549971,30,1985-10-01
"49",4.77168910607066,2.24818362669242,-1.90899126331806,30,1986-01-01
"50",4.73415760558287,2.22723156163116,-1.93370241679755,30,1986-04-01
"51",5.02078269856711,2.32315588840903,-1.61572564685694,30,1986-07-01
"52",4.75306565850668,2.45926282418786,-2.49424970492427,30,1986-10-01
"53",4.84610631410399,2.48275525917883,-2.33465455274816,30,1987-01-01
"54",4.59148205479731,2.33455471297095,-2.55299421939392,30,1987-04-01
"55",4.82219466533207,2.34379698860908,-2.03848862704915,30,1987-07-01
"56",4.59500923824034,2.2827867059186,-2.39171869639198,30,1987-10-01
"57",4.66573305738853,2.27694693181412,-2.2067821048588,30,1988-01-01
"58",5.18485123934078,3.25399778479998,-4.10004688809094,30,1988-04-01
"59",4.98256362340817,2.92813449506823,-3.3757059781768,30,1988-07-01
"60",5.63769077821316,3.95766882605211,-19.8488501716469,30,1988-10-01
"61",4.8815355268046,3.21043476780092,-19.5221560335669,30,1989-01-01
"62",5.23087588086952,3.103168141816,-3.14034384974964,30,1989-04-01
"63",4.88656619805441,3.28002867827213,-19.54813853647,30,1989-07-01
"64",5.21131962264704,3.04238179542861,-2.99318014063142,30,1989-10-01
"65",5.14754959014604,3.33452877937235,-5.28448151282434,30,1990-01-01
"66",5.0386397891217,3.44109322679217,-19.0999611030336,30,1990-04-01
"67",4.97247085666107,3.1874495341906,-5.70012618568281,30,1990-07-01
"68",4.64976273992676,3.02565852321376,-17.0902283358713,30,1990-10-01
"69",5.06835004012674,2.91131981037868,-2.99960229610841,30,1991-01-01
"70",4.71624437112952,2.87170991351655,-4.72116844059443,30,1991-04-01
"71",4.52018674539581,2.95984323822467,-22.0368088241597,30,1991-07-01
"72",3.88071540145945,2.83973034646016,-30,5,1991-10-01
"73",4.16347153769635,2.83334632240761,-30,9,1992-01-01
"74",4.78422134066296,2.51833304807586,-2.58391282605065,30,1992-04-01
"75",4.5536185252656,2.22621742416229,-2.33457941253329,30,1992-07-01
"76",4.49687460504558,2.10269429887904,-2.12819947844086,30,1992-10-01
"77",4.5913066703565,1.82785871507945,-1.16516725467302,30,1993-01-01
"78",4.23529341078142,1.49487157621443,-0.667812367623065,30,1993-04-01
"79",4.19267165029721,1.46579045297679,-0.70435690330115,30,1993-07-01
"80",4.55816223755409,1.84197337138273,-1.28775481209916,30,1993-10-01
"81",4.19815008284415,1.65961950010434,-1.5500259485804,26,1994-01-01
"82",3.86648539954394,1.26303229463727,-0.521207036154043,11,1994-04-01
"83",3.43556000584438,1.0516085558354,-0.0325817664316437,5,1994-07-01
"84",2.90354938333399,1.55139256536001,1.10046037300536,30,1994-10-01
"85",3.20337373412229,1.30081430036773,0.40902316600248,30,1995-01-01
"86",4.34093322707361,1.56787577259064,-0.641347190421429,30,1995-04-01
"87",4.39821812579506,1.78216175153017,-1.46845163726894,30,1995-07-01
"88",4.73013237382851,2.05980843916285,-1.52837276179924,30,1995-10-01
"89",4.46097873029632,2.11578943240542,-2.25076660245022,30,1996-01-01
"90",4.3971299708239,1.95468123875919,-1.95307614931444,30,1996-04-01
"91",4.53048965234951,1.86420088360543,-1.41397739388361,30,1996-07-01
"92",4.46265967851904,1.82645753899787,-1.45385464344587,30,1996-10-01
"93",4.43237909625505,1.80116497083855,-1.44756422987098,30,1997-01-01
"94",3.64612224929239,1.48519133578022,0.176643697557095,30,1997-04-01
"95",4.51012483371851,1.81092514900984,-1.30163222777683,30,1997-07-01
"96",4.4756874098771,1.7189124263761,-1.07256830033589,30,1997-10-01
"97",4.51463129475845,1.88919714409914,-1.51811428564642,30,1998-01-01
"98",4.50152067934559,1.68157100037279,-0.754271866925889,30,1998-04-01
"99",4.58335972051183,1.79204401506926,-1.05710813274382,30,1998-07-01
"100",4.65858084828662,2.18498082672291,-1.98518966548541,30,1998-10-01
"101",4.60638585957329,1.92752804772817,-1.42983901945009,30,1999-01-01
"102",4.60271700187964,1.93393554205533,-1.45509407810833,30,1999-04-01
"103",4.87485976959557,2.22093952510896,-1.6456130999204,30,1999-07-01
"104",5.25841309494318,2.78563054937105,-2.20056058162852,30,1999-10-01
"105",4.77247355188267,2.45366575084875,-2.43054875972614,30,2000-01-01
"106",4.71558970281969,2.27567977078297,-2.09324679309338,30,2000-04-01
"107",5.01782555394605,2.58353592741722,-2.21321449790396,30,2000-07-01
"108",5.20451042822357,2.56974653460311,-1.83239166509802,30,2000-10-01
"109",4.60223650001715,2.63115406693085,-3.70345022725594,30,2001-01-01
"110",5.3326789821715,2.70891922855901,-1.90315300019906,30,2001-04-01
"111",4.52696469824318,2.66813148925802,-4.51335043605114,30,2001-07-01
"112",4.75231340364335,2.70155289700643,-3.33812528822411,30,2001-10-01
"113",4.30822936466535,2.61757443055523,-14.4241849431575,30,2002-01-01
"114",4.62703488467496,2.37538241097109,-2.57978888971866,30,2002-04-01
"115",4.21665816567647,2.32958482787046,-4.17341733338753,30,2002-07-01
"116",4.54462995020828,2.47176833450192,-3.19067496520087,30,2002-10-01
"117",4.72679421257409,2.21046892254162,-1.90742042041299,30,2003-01-01
"118",4.50243442680989,2.0219774097555,-1.89913983599407,30,2003-04-01
"119",4.61692747566776,2.37787951284928,-2.61533557828662,30,2003-07-01
"120",4.43324999046188,2.41153516888837,-3.3947179890546,30,2003-10-01
"121",4.58382369190146,2.25158467627808,-2.33150483381038,30,2004-01-01
"122",4.46622333753288,1.74112701774706,-1.17977663432163,30,2004-04-01
"123",3.84708476234563,1.45916347313282,-0.0221427855574224,30,2004-07-01
"124",4.42494457927155,1.64385595851026,-0.884030283868123,30,2004-10-01
"125",4.30801119439622,1.65220283263265,-1.27337410851196,30,2005-01-01
"126",4.38757290081058,1.70093476782858,-1.23942996019037,30,2005-04-01
"127",4.43365564225727,1.70668384069604,-1.14119136796175,30,2005-07-01
"128",4.40180415282134,1.6806935395267,-1.13023940742922,30,2005-10-01
"129",4.36332877640202,1.60081797008507,-0.884336089071418,30,2006-01-01
"130",4.46488805537465,1.95894685761176,-1.81373357536445,30,2006-04-01
"131",4.53829431840853,1.88965656687667,-1.46893813904887,30,2006-07-01
"132",4.49455741457936,1.98386290017013,-1.81523794412073,30,2006-10-01
"133",4.4914560773204,1.70604339488234,-0.96842798504187,30,2007-01-01
"134",4.37411651871304,1.94597792307117,-1.98212480350458,30,2007-04-01
"135",4.32156006964061,2.02042943755844,-2.32779954697227,30,2007-07-01
"136",4.4726765658917,1.80675465629367,-1.37387794468323,30,2007-10-01
"137",4.25038737252389,1.88485879514046,-2.10625032228639,30,2008-01-01
"138",4.51463129475845,1.88919714409914,-1.51811428564642,30,2008-04-01
"139",4.84051611769765,2.84230011848872,-3.61215068517935,30,2008-07-01
"140",4.74871978893211,3.31611000047038,-22.1719414745867,30,2008-10-01
"141",4.00047330431209,3.08714263572211,-30,5,2009-01-01
"142",4.85357111350065,3.59633677690476,-22.7232597179387,20,2009-04-01
"143",4.13854584459644,3.39739855974221,-30,5,2009-07-01
"144",2.825421030067,3.88345284613858,-30,2,2009-10-01
"145",3.48518945526964,3.80275344870519,-30,3,2010-01-01
"146",4.38761865188006,3.54692251267983,-28.7542452947707,6,2010-04-01
"147",4.72961185361056,3.26730927770705,-22.1957675746212,30,2010-07-01
"148",4.98571022501373,2.8641377007182,-3.10608772147728,30,2010-10-01
"149",4.63289237352445,2.5347722897884,-3.10949382457574,30,2011-01-01
"150",4.86120308087509,2.49543620862678,-2.33323281796856,30,2011-04-01
"151",4.73873843064331,2.51314574609152,-2.6922869839467,30,2011-07-01
"152",4.63840652764436,2.28654565564522,-2.29609288693316,30,2011-10-01
"153",4.17760668596322,2.27454798668559,-4.02930661575103,30,2012-01-01
"154",4.62162559160683,2.14329461106688,-1.95773516894614,30,2012-04-01
"155",4.57823887467108,2.72235827430533,-4.55807220445201,30,2012-07-01
"156",5.07388549580087,2.89381778633416,-2.92397351726525,30,2012-10-01
"157",4.70224198789657,2.40563267621992,-2.47075092637124,30,2013-01-01
"158",4.6067650750414,2.38034415907156,-2.65175598936683,30,2013-04-01
"159",4.40738567399893,2.2460066778968,-2.81120416082042,30,2013-07-01
"160",4.29232206338134,2.02860036251631,-2.43267443611456,30,2013-10-01
"161",4.39868734395712,1.73616562101315,-1.32761910874565,30,2014-01-01
"162",4.27808746040075,1.81248887854173,-1.82901717066775,30,2014-04-01
"163",4.41757686260298,1.73424969236367,-1.27647695346068,30,2014-07-01
"164",3.44315778145667,1.26254573824828,0.140184350350815,30,2014-10-01
"165",3.69862168595878,1.28950065982006,-1.09990392272587,5,2015-01-01
"166",3.16227223156792,1.27202488043598,0.502788056992567,13,2015-04-01
"167",2.92411992775409,1.49888093314966,0.976977553358671,30,2015-07-01
"168",4.27834658802376,1.61092912299779,-1.20481337597919,30,2015-10-01
