"","location","scale","shape","freedom","realized","DATE","pit"
"1",3.63669832018611,2.53602646822765,-0.386592795185558,7,2.65,1993-10-01,0.462959176491591
"2",0.998481461202302,2.91879279269403,0.786563313739799,30,3.45,1994-01-01,0.655220427184221
"3",2.72077237970824,2.51860268794523,-0.0372223432473261,13,4.25,1994-04-01,0.732776851267069
"4",2.05128264938477,2.48442888476591,0.249702304631784,10,4.35,1994-07-01,0.760445500326253
"5",3.96201175758362,2.08727141896496,-0.431064264383284,3,4.15,1994-10-01,0.662040080252383
"6",3.59017396763209,1.60691290785511,-0.279596634644074,2,3.5,1995-01-01,0.566817893757784
"7",4.10646008536532,1.6732641118043,-0.423359784190766,2,2.45,1995-04-01,0.297268014480572
"8",3.35824334787638,1.54900857650709,-0.231483933872943,2,2.725,1995-07-01,0.427884060385464
"9",3.87355815886268,1.63250071682118,-0.363956654376883,2,2.3,1995-10-01,0.293261894285997
"10",3.37680880722459,1.88103770142748,-0.294065378807835,3,2.625,1996-01-01,0.44211691789533
"11",3.36913931411497,1.87996395206044,-0.291119421106459,3,4.075,1996-04-01,0.717870411534977
"12",3.75096995819506,1.59126657853426,-0.344944652979631,2,4.125,1996-07-01,0.68476137294539
"13",3.74132420290423,1.53836651196249,-0.426749633478889,2,4.475,1996-10-01,0.774380512024557
"14",3.68030551018379,1.53044702142713,-0.406261672710279,2,4.575,1997-01-01,0.795120307366292
"15",5.02404799119163,1.74329230895783,-0.917916208579269,2,4.325,1997-04-01,0.578685047583087
"16",3.99521635791519,1.57206801007286,-0.514569637246177,2,4.7,1997-07-01,0.78752734571277
"17",4.23250067040573,1.6022293659994,-0.603370033586715,2,4.4,1997-10-01,0.708625752727076
"18",3.94389433589948,1.55293227452746,-0.504163584366543,2,4.625,1998-01-01,0.782771440353585
"19",4.72846987921991,1.69049168817108,-0.790164819285324,2,4.05,1998-04-01,0.55788833461572
"20",4.15891447291792,1.47551295920074,-0.465854778206965,2,4.075,1998-07-01,0.618440235339443
"21",3.78183352931125,1.47514138462569,-0.394841020571359,2,4.975,1998-10-01,0.837347287521569
"22",4.11681363470821,1.48972605600726,-0.493725317475939,2,4.775,1999-01-01,0.781205806033383
"23",4.00754742254377,1.47800163582638,-0.454907311031903,2,4.625,1999-04-01,0.765987274717613
"24",4.27311576612997,1.47980538580618,-0.510488843058064,2,4.575,1999-07-01,0.718323800831885
"25",4.6474398617437,1.49853701878043,-0.615070702633128,2,4.675,1999-10-01,0.681993423492229
"26",3.96634086195336,1.48891277140465,-0.462808042661329,2,4.175,2000-01-01,0.685847255395076
"27",4.07603500056461,1.47716326363657,-0.555941651644645,2,5.3,2000-04-01,0.870184269594088
"28",4.51429594388201,1.48695813100262,-0.697959814287955,2,4.15,2000-07-01,0.602173728655978
"29",4.93872428129911,1.49841796004697,-0.84677229110426,2,2.95,2000-10-01,0.267089633885109
"30",3.6678960358995,1.47556295965351,-0.45409851804133,2,2.375,2001-01-01,0.332988325417344
"31",5.07842506067601,1.49870188750996,-0.897278631284004,2,0.95,2001-04-01,0.0972147417251258
"32",3.56697120980854,1.47813724289183,-0.436498221376613,2,0.5,2001-07-01,0.126798692084252
"33",3.92892290521534,1.47783677386316,-0.526382212296699,2,0.2,2001-10-01,0.0985402264691726
"34",3.54761698107532,1.8891005041066,-0.551845833711009,3,1.4,2002-01-01,0.259131682128892
"35",3.86132274324675,1.47586286889957,-0.50430611977851,2,1.425,2002-04-01,0.180552174841773
"36",3.48563049800974,1.88503059795241,-0.530432288356337,3,2.25,2002-07-01,0.404425410647205
"37",3.60979615571336,1.47424920102901,-0.433646281837204,2,2.05,2002-10-01,0.282257413875458
"38",4.06105058879544,1.46310246904238,-0.5372596941506,2,1.65,2003-01-01,0.183984405430589
"39",3.7616186579527,1.46405379317014,-0.460820663412628,2,2.05,2003-04-01,0.260955615428339
"40",3.72159134890139,1.46432730642033,-0.451012021254024,2,3.275,2003-07-01,0.523101864318959
"41",3.38049727428618,1.46806549955431,-0.370795876752583,2,4.4,2003-10-01,0.810683855219255
"42",3.58430792095855,1.39128282889204,-0.34601208063353,2,4.45,2004-01-01,0.789647594552301
"43",3.86945054579736,1.36289888042526,-0.390378186794129,2,4.25,2004-04-01,0.710666314325245
"44",4.39888429520478,1.31463111533355,-0.485339799173383,2,3.45,2004-07-01,0.385108279401445
"45",4.04792033147071,1.34789372443673,-0.422554922924882,2,3.125,2004-10-01,0.384112570936454
"46",3.61868928850389,1.38799186845563,-0.351377075049673,2,3.625,2005-01-01,0.60916357469578
"47",3.73897784409942,1.3765689181767,-0.370518983265699,2,3.4,2005-04-01,0.523710570786841
"48",3.85357180992921,1.36464826051154,-0.388026946646781,2,3.325,2005-07-01,0.47715311921628
"49",3.87474309472245,1.36953327925351,-0.405920659757896,2,3.025,2005-10-01,0.401182880890381
"50",4.01470854004289,1.3567917795807,-0.430934109083594,2,3.175,2006-01-01,0.407226939291607
"51",3.62349678942145,1.39169911595252,-0.362036163230675,2,2.95,2006-04-01,0.43665983860176
"52",3.85436531533432,1.37080398624007,-0.401715559283992,2,2.2,2006-07-01,0.24431193107928
"53",3.65975562406776,1.3884624360015,-0.368284451021184,2,2.425,2006-10-01,0.31335513736563
"54",4.12133737261855,1.34751468190477,-0.451111052087932,2,1.25,2007-01-01,0.122944146480582
"55",3.47840034848985,1.40681503188735,-0.341804040846513,2,1.725,2007-04-01,0.227468691924722
"56",3.32111287136595,1.41993543363305,-0.313459162459611,2,2.3,2007-07-01,0.349694556633055
"57",3.81768167069402,1.37383663869795,-0.394988066447821,2,1.85,2007-10-01,0.201894410873922
