"","lower","upper"
"1",0.143554884916395,0.522681451612903
"2",0.0467370970091836,0.427970520600744
"3",-0.0198403802169689,0.409185757529842
"4",-0.100844878368644,0.324407235457938
"5",-0.184653301120737,0.227007736095166
"6",-0.151427461855182,0.230960846680103
"7",-0.0727889450644404,0.274819813278806
"8",-0.049370845640767,0.25502777432839
"9",-0.0175465249620859,0.280322057993683
"10",-0.134676762712486,0.166333345841035
"11",-0.0059270359068154,0.311558457097527
"12",-0.0203086035994505,0.321352513399512
"13",-0.00585475797560905,0.362935496558937
"14",-0.00975093511676378,0.364389943944555
"15",0.0193092728979284,0.397116128216002
"16",-0.0464758357589205,0.418325287116517
"17",-0.113444617693543,0.387024427378193
"18",-0.0717814728547187,0.491784768550538
"19",-0.0777931061293395,0.552224333671967
