"","location","scale","shape","freedom","realized","DATE","pit"
"1",2.61274157507718,3.21355675389228,2.33423008197146,30,0.8,1993-01-01,0.0124813860812544
"2",5.70662385578591,2.52642338219006,-0.778475846613889,30,2.4,1993-04-01,0.180416604494388
"3",3.3534467053504,2.62766453508224,0.834778409412721,30,2,1993-07-01,0.116084447238266
"4",2.6845987900983,2.87065986201702,1.46401396750981,30,5.4,1993-10-01,0.659744931713837
"5",3.87722843927655,2.15619565904275,0.821690930368499,4,4,1994-01-01,0.302818638168668
"6",3.39626144599529,2.12865512489296,0.917066801838698,4,5.6,1994-04-01,0.686305739064794
"7",3.21465233139467,2.72185164027651,1.10092277870704,7,2.4,1994-07-01,0.136504976283052
"8",2.25698775632679,2.55580134066703,1.38968568989345,6,4.6,1994-10-01,0.627340740299906
"9",2.19996857213539,3.2891292382931,1.57715857256264,17,1.4,1995-01-01,0.0996563308026029
"10",0.921576404737719,3.48528963044024,4.4461178508042,30,1.4,1995-04-01,0.13739971282089
"11",1.83216041924752,2.49422288175575,1.85888645282793,30,3.5,1995-07-01,0.507311859872505
"12",2.22881359094309,2.65557407900633,1.74882632893743,30,2.9,1995-10-01,0.281433285718916
"13",2.08291234293454,2.62199777699592,1.95831736393045,30,2.7,1996-01-01,0.259213622361701
"14",1.8579140855418,2.71137961131967,3.4097981577011,30,7.2,1996-04-01,0.941898740103239
"15",3.69961233378368,2.62986312045931,1.10687824032309,30,3.7,1996-07-01,0.233924850637123
"16",2.1866977585794,2.72082739875672,2.4822167681462,30,4.3,1996-10-01,0.559416010486126
"17",2.40591260885916,2.71530852375103,2.30782971904496,30,3.1,1997-01-01,0.253048224987531
"18",2.02038916586625,2.69667764130446,2.55227359146655,30,6.2,1997-04-01,0.868358793897532
"19",3.20533451904208,2.66485903703492,1.36723281244897,30,5.2,1997-07-01,0.568219050063646
"20",2.9369245543091,2.6248149713801,1.45439784967909,30,3.1,1997-10-01,0.217184656666466
"21",1.86836539628105,2.76523295918991,2.03695213953928,30,4,1998-01-01,0.560429576884341
"22",2.2399954010583,2.7419347787264,2.12815088001798,30,3.9,1998-04-01,0.464412333019411
"23",2.21082370212405,2.73901137366305,2.1523704769532,30,5.3,1998-07-01,0.732408849874589
"24",2.53296916026623,2.81375227846677,1.43912518637328,30,6.7,1998-10-01,0.852278019082896
"25",2.99969926321752,2.84978064582177,0.754120063564944,30,3.2,1999-01-01,0.322705472990028
"26",1.83028677892193,2.79115408684471,1.5845101535336,30,3.3,1999-04-01,0.439409531503868
"27",1.93187194942645,2.76290351442146,1.7858273677065,30,5.1,1999-07-01,0.74143923276206
"28",2.39538610920251,2.84291801527756,1.14375643779818,30,7.1,1999-10-01,0.893622503182166
"29",3.35182172721022,2.7612036870985,0.720867268465885,30,1.2,2000-01-01,0.0802057852341884
"30",1.17805669045121,2.76112431628552,1.71852735587262,30,7.8,2000-04-01,0.97710642572672
"31",5.89529014563272,2.72302854446789,-0.701338907810623,30,0.5,2000-07-01,0.052991555572367
"32",0.363322917141586,3.61896426404729,3.56223970723653,30,2.3,2000-10-01,0.406009795693467
"33",0.773760973649462,3.51052961259415,2.71635230186229,30,-1.1,2001-01-01,0.00854834055273403
"34",0.0475384984242267,3.1580824253608,4.33626897115628,7,2.1,2001-04-01,0.464378145790717
"35",0.961066767813146,3.3875019030599,3.52331099437753,30,-1.3,2001-07-01,0.000821659262445971
