"","location","scale","shape","freedom","realized","DATE","pit"
"1",7.00906528000775,4.50625946706998,-2.48949183361165,9,0.8,1993-01-01,0.201247971981522
"2",4.55234411562266,3.32193275154065,-0.93165565539557,4,2.4,1993-04-01,0.463300944134329
"3",5.73146654111985,3.73944178562014,-1.43760225698099,5,2,1993-07-01,0.346300717491512
"4",5.693816953393,3.77903488415113,-1.54169396247584,5,5.4,1993-10-01,0.78588309812877
"5",7.77180120187972,4.93536811918324,-3.93638724156463,16,4,1994-01-01,0.455614320827169
"6",7.02447574346889,4.53018319796783,-2.66652775993077,9,5.6,1994-04-01,0.727853888946715
"7",7.87184123784226,4.99098700685841,-4.19768567744037,18,2.4,1994-07-01,0.287375415095991
"8",6.09061074426121,4.05668932906935,-1.83313970560319,6,4.6,1994-10-01,0.66802401247354
"9",7.31989924855755,4.63036101262992,-3.03471834241987,10,1.4,1995-01-01,0.229850795558625
"10",4.93570320380747,3.34174753996763,-1.12173808304405,4,1.4,1995-04-01,0.319175070538309
"11",5.91967812730335,4.13767434079586,-3.04665464669409,6,3.5,1995-07-01,0.573349683902696
"12",6.5997661812419,4.23316497111549,-2.61823850520765,7,2.9,1995-10-01,0.408291196495024
"13",6.31137402105882,4.07026758982092,-2.54255323914017,6,2.7,1996-01-01,0.405613418825844
"14",6.02616693928397,3.51322845356968,-2.16504285850909,4,7.2,1996-04-01,0.94994309972032
"15",7.47248350192098,3.8804781054963,-1.73131091735439,6,3.7,1996-07-01,0.358305429811779
"16",6.31769535503443,3.48364775855571,-1.99387249393023,4,4.3,1996-10-01,0.565935912423806
"17",6.41252076619128,3.44041785554684,-1.82222040502923,4,3.1,1997-01-01,0.378212087258897
"18",5.97907290966707,3.45741213382866,-1.88736492358607,5,6.2,1997-04-01,0.867923116209448
"19",7.04666618161173,3.96404877289447,-1.7097450851512,14,5.2,1997-07-01,0.603241563238202
"20",6.83725627993336,3.9301109529797,-1.9079747335629,10,3.1,1997-10-01,0.358223135842013
"21",6.27877671572699,3.75027350794482,-2.2821085895005,6,4,1998-01-01,0.550428277381832
"22",5.89357650352629,3.03935772469273,-1.4081401346615,4,3.9,1998-04-01,0.501270792615054
"23",5.93517986774781,3.0653007838293,-1.4755528114299,4,5.3,1998-07-01,0.723581381726651
"24",6.28656576074085,3.18996734861125,-1.32908855255741,5,6.7,1998-10-01,0.840193697251743
"25",6.93217868563111,3.54176685832965,-1.4026170892183,8,3.2,1999-01-01,0.309785009812702
"26",5.89323117307895,3.15744381388411,-1.7116891892779,4,3.3,1999-04-01,0.43731841959213
"27",5.90077695142934,3.1446618680134,-1.67714074633811,4,5.1,1999-07-01,0.718101940554589
"28",5.97698492353804,2.90459951193907,-1.14260681435532,4,7.1,1999-10-01,0.886644273033667
"29",8.01985857482259,4.44929552835538,-4.01401770744233,30,1.2,2000-01-01,0.13580536826325
"30",5.20365417577385,2.84113391636588,-1.60486932341496,3,7.8,2000-04-01,0.977417897131176
"31",7.96173829906189,4.28010424116033,-3.24880774273471,30,0.5,2000-07-01,0.0915136147344808
"32",3.84958663915833,2.12185042773874,-0.524728427832611,2,2.3,2000-10-01,0.389894833308896
"33",4.87540692131188,2.66032727855282,-0.84030062916006,3,-1.1,2001-01-01,0.0984047029231231
"34",3.38219774841261,2.19932263762855,-0.499971340705008,2,2.1,2001-04-01,0.434170002217609
"35",4.17284036760633,2.02617250172282,-0.509307111857737,2,-1.3,2001-07-01,0.0874609371237041
"36",3.33337337068611,2.21017845088974,-0.499607248964583,2,1.1,2001-10-01,0.304488284517724
"37",4.0054084316413,2.06806393527441,-0.567623703582566,2,3.7,2002-01-01,0.61045828275943
"38",5.25924179000046,2.57184239595568,-0.909626318330342,3,2.2,2002-04-01,0.279053424438657
"39",4.94328080343992,2.6780761541121,-0.927494039874613,3,2,2002-07-01,0.306625691617351
"40",4.21580536590948,2.02115909672471,-0.562729039060165,2,0.3,2002-10-01,0.14962070125161
"41",3.77675263602538,2.09931987775899,-0.555982917325766,2,2.1,2003-01-01,0.373858461079571
"42",4.88233767938126,2.66377423767695,-0.905608093261979,3,3.8,2003-04-01,0.568250101524722
"43",5.707813523117,2.99321044113742,-1.20059350321032,4,6.9,2003-07-01,0.895705438944455
"44",7.57571590493289,4.23186421940984,-2.74456675488982,30,4.8,2003-10-01,0.513139702371375
"45",6.22348900581886,3.22990849080899,-1.44736836920182,5,2.3,2004-01-01,0.268373686770197
"46",4.92854838909162,2.65004338637168,-0.904974887607732,3,3,2004-04-01,0.434413758786931
"47",5.07855490961851,2.59990758093587,-0.897030408317307,3,3.7,2004-07-01,0.514159791632939
"48",5.19958341632258,2.54100261138639,-0.876847995661095,3,3.5,2004-10-01,0.45435981391357
"49",5.94584596933921,3.10826599085161,-1.74105068304337,4,4.3,2005-01-01,0.582028617035963
"50",5.88082324058081,2.95613516990056,-1.47716114432856,4,2.1,2005-04-01,0.259773257397603
"51",5.17536603889755,2.69960596649386,-1.37021789679303,3,3.4,2005-07-01,0.505102019783918
"52",5.32946899733787,2.5769379011672,-1.19871296774038,3,2.3,2005-10-01,0.298826113886905
"53",5.20041833357109,2.68087709301774,-1.34361851103987,3,4.9,2006-01-01,0.752603694950266
"54",5.93827054472689,2.88419859422399,-1.37582206916039,4,1.2,2006-04-01,0.169594144227222
"55",4.22247604321678,1.96975728239613,-0.830245020605249,2,0.4,2006-07-01,0.164450928841667
"56",4.10686131290055,2.01887006363253,-0.8957720760011,2,3.2,2006-10-01,0.555639037414746
